num_jogadas,vencedor,tempo_medio_mcts,tempo_medio_random
7,1,0.6051375269889832,5.086263020833333e-06
11,1,0.625949501991272,5.0067901611328125e-06
13,1,0.5840129171098981,5.245208740234375e-06
7,1,0.6119815111160278,6.039937337239583e-06
11,1,0.6937557061513265,6.771087646484375e-06
9,1,0.6757952690124511,5.4836273193359375e-06
7,1,0.5913746953010559,7.152557373046875e-06
9,1,0.6417072772979736,5.7220458984375e-06
13,1,0.6562508174351284,5.841255187988281e-06
7,1,0.6437589526176453,5.404154459635417e-06
9,1,0.649214792251587,5.543231964111328e-06
13,1,0.6135457243238177,5.086263020833333e-06
21,1,0.6247990781610663,5.650520324707031e-06
7,1,0.6276445984840393,5.404154459635417e-06
9,1,0.6331546783447266,5.185604095458984e-06
7,1,0.6703117489814758,5.086263020833333e-06
9,1,0.6651466846466064,5.125999450683594e-06
9,1,0.6082547664642334,4.76837158203125e-06
7,1,0.596722424030304,5.880991617838542e-06
7,1,0.5912728309631348,5.086263020833333e-06
7,1,0.6190392971038818,5.086263020833333e-06
9,1,0.660456371307373,5.245208740234375e-06
9,1,0.6943034648895263,5.125999450683594e-06
7,1,0.6849156618118286,6.993611653645833e-06
7,1,0.6049155592918396,5.3246815999348956e-06
7,1,0.6205934286117554,5.245208740234375e-06
7,1,0.6761206388473511,5.6425730387369794e-06
7,1,0.6554867029190063,6.7551930745442706e-06
7,1,0.5829008221626282,5.1657358805338544e-06
7,1,0.6580967903137207,5.404154459635417e-06
7,1,0.6045441627502441,5.1657358805338544e-06
11,1,0.5982648928960165,5.674362182617188e-06
7,1,0.5971949100494385,4.8478444417317706e-06
7,1,0.6225230693817139,5.245208740234375e-06
9,1,0.6273600578308105,5.304813385009766e-06
11,1,0.6969565550486246,4.863739013671875e-06
7,1,0.6408579349517822,5.8015187581380206e-06
7,1,0.6390564441680908,5.4836273193359375e-06
7,1,0.5914513468742371,5.3246815999348956e-06
7,1,0.6546944975852966,5.086263020833333e-06
11,1,0.7012589375178019,5.292892456054687e-06
9,1,0.6694758415222168,5.424022674560547e-06
7,1,0.6586323976516724,4.8478444417317706e-06
7,1,0.6363801956176758,4.927317301432292e-06
7,1,0.6397207379341125,5.245208740234375e-06
9,1,0.6489302635192871,5.364418029785156e-06
7,1,0.6305153369903564,5.8015187581380206e-06
7,1,0.6908007860183716,5.4836273193359375e-06
7,1,0.5738192796707153,5.8015187581380206e-06
7,1,0.6159883141517639,5.563100179036458e-06
9,1,0.6936451435089112,5.185604095458984e-06
11,1,0.6696792443593343,5.340576171875e-06
7,1,0.6660746932029724,5.4836273193359375e-06
9,1,0.6374637126922608,4.947185516357422e-06
7,1,0.5806918144226074,5.0067901611328125e-06
13,1,0.6446873801095145,6.000200907389323e-06
11,1,0.6461169719696045,5.865097045898438e-06
7,1,0.6471412181854248,5.404154459635417e-06
15,1,0.6410161852836609,5.824225289481026e-06
9,1,0.6492068290710449,6.616115570068359e-06
13,1,0.6508070400782994,5.404154459635417e-06
13,1,0.6689309052058628,5.4836273193359375e-06
13,1,0.6422789096832275,5.3246815999348956e-06
7,1,0.6641232371330261,5.4836273193359375e-06
13,1,0.6323214939662388,5.0067901611328125e-06
7,1,0.6509360074996948,5.1657358805338544e-06
11,1,0.6676477591196696,5.674362182617188e-06
11,1,0.6126030286153158,5.197525024414063e-06
13,1,0.6412871565137591,5.443890889485677e-06
13,1,0.6250894069671631,5.364418029785156e-06
7,1,0.6408865451812744,5.3246815999348956e-06
7,1,0.6474380493164062,5.1657358805338544e-06
7,1,0.6153860688209534,5.0067901611328125e-06
11,1,0.6548031171162924,4.863739013671875e-06
7,1,0.6013440489768982,4.927317301432292e-06
9,1,0.680498456954956,6.139278411865234e-06
9,1,0.710843849182129,5.066394805908203e-06
7,1,0.5940842628479004,5.404154459635417e-06
7,1,0.6925258636474609,5.245208740234375e-06
7,1,0.6028964519500732,7.867813110351562e-06
7,1,0.6450179219245911,5.4836273193359375e-06
13,1,0.6218045439038958,7.033348083496094e-06
11,1,0.6665133635203043,5.054473876953125e-06
7,1,0.6528550982475281,5.3246815999348956e-06
13,1,0.6136859825679234,5.3246815999348956e-06
11,1,0.6785115798314413,5.769729614257812e-06
7,1,0.6102026104927063,4.8478444417317706e-06
11,1,0.6982448895772299,5.054473876953125e-06
7,1,0.6172447800636292,5.404154459635417e-06
9,1,0.6660209655761719,4.947185516357422e-06
7,1,0.5875309705734253,5.3246815999348956e-06
7,1,0.5973197221755981,5.6425730387369794e-06
7,1,0.6798500418663025,6.1194101969401044e-06
9,1,0.6526572227478027,5.185604095458984e-06
11,1,0.6723614533742269,4.5299530029296875e-06
21,1,0.5911111614920876,5.245208740234375e-06
9,1,0.6232450008392334,5.066394805908203e-06
7,1,0.657617449760437,4.76837158203125e-06
7,1,0.6723206639289856,5.4836273193359375e-06
11,1,0.63036048412323,4.9591064453125e-06
13,1,0.6156847136361259,5.364418029785156e-06
7,1,0.6828075647354126,5.245208740234375e-06
13,1,0.6230623040880475,5.9604644775390625e-06
9,1,0.6649449825286865,5.125999450683594e-06
7,1,0.6865699887275696,5.0067901611328125e-06
13,1,0.6390827383313861,5.841255187988281e-06
7,1,0.6000658869743347,4.6888987223307294e-06
7,1,0.6761090159416199,5.0067901611328125e-06
7,1,0.6792799234390259,4.76837158203125e-06
7,1,0.6384584903717041,4.6888987223307294e-06
7,1,0.6694841384887695,5.6425730387369794e-06
9,1,0.6455416202545166,5.0067901611328125e-06
7,1,0.5956034064292908,5.245208740234375e-06
7,1,0.586010217666626,5.3246815999348956e-06
7,1,0.631817638874054,5.1657358805338544e-06
7,1,0.6601635813713074,4.76837158203125e-06
7,1,0.60927814245224,6.7551930745442706e-06
7,1,0.659648597240448,5.404154459635417e-06
7,1,0.5903301239013672,5.086263020833333e-06
7,1,0.5963416695594788,5.1657358805338544e-06
7,1,0.5678710341453552,5.3246815999348956e-06
7,1,0.6359407305717468,5.0067901611328125e-06
11,1,0.6537508169809977,5.292892456054687e-06
7,1,0.6896646022796631,5.4836273193359375e-06
11,1,0.6558765967686971,5.435943603515625e-06
7,1,0.6270402669906616,5.1657358805338544e-06
9,1,0.6523990631103516,4.887580871582031e-06
7,1,0.5920721292495728,6.4373016357421875e-06
13,1,0.635274955204555,5.0067901611328125e-06
7,1,0.6585729122161865,5.086263020833333e-06
